date,value
1969-12-31,100.0
1970-01-30,94.249
1970-02-27,96.979
1970-03-31,97.075
1970-04-30,87.8
1970-05-29,82.06
1970-06-30,79.837
1970-07-31,84.585
1970-08-31,87.175
1970-09-30,89.788
1970-10-30,88.264
1970-11-30,90.035
1970-12-31,94.292
1971-01-29,98.42
1971-02-26,99.255
1971-03-31,103.407
1971-04-30,106.587
1971-05-31,103.859
1971-06-30,104.711
1971-07-30,102.836
1971-08-31,104.877
1971-09-30,103.676
1971-10-29,99.54
1971-11-30,100.176
1971-12-31,108.993
1972-01-31,112.774
1972-02-29,116.888
1972-03-31,118.297
1972-04-28,119.654
1972-05-31,121.882
1972-06-30,118.841
1972-07-31,120.466
1972-08-31,123.678
1972-09-29,121.59
1972-10-31,122.381
1972-11-30,128.591
1972-12-29,130.737
1973-01-31,130.825
1973-02-28,131.515
1973-03-30,131.476
1973-04-30,124.631
1973-05-31,124.046
1973-06-29,124.611
1973-07-31,127.351
1973-08-31,121.822
1973-09-28,125.11
1973-10-31,126.136
1973-11-30,109.548
1973-12-31,108.41
1974-01-31,109.006
1974-02-28,110.459
1974-03-29,107.416
1974-04-30,105.382
1974-05-31,100.892
1974-06-28,97.476
1974-07-31,91.462
1974-08-30,82.39
1974-09-30,74.454
1974-10-31,81.329
1974-11-29,79.808
1974-12-31,78.237
1975-01-31,89.398
1975-02-28,97.047
1975-03-31,97.51
1975-04-30,101.3
1975-05-30,103.447
1975-06-30,104.505
1975-07-31,98.483
1975-08-29,96.723
1975-09-30,92.428
1975-10-31,98.555
1975-11-28,101.013
1975-12-31,100.863
1976-01-30,109.636
1976-02-27,108.582
1976-03-31,109.621
1976-04-30,108.579
1976-05-31,106.525
1976-06-30,109.559
1976-07-30,108.288
1976-08-31,107.791
1976-09-30,108.443
1976-10-29,104.395
1976-11-30,103.725
1976-12-31,111.262
1977-01-31,107.261
1977-02-28,106.52
1977-03-31,105.581
1977-04-29,106.46
1977-05-31,104.734
1977-06-30,108.395
1977-07-29,106.659
1977-08-31,106.77
1977-09-30,107.812
1977-10-31,105.68
1977-11-30,106.709
1977-12-30,108.521
1978-01-31,105.02
1978-02-28,103.901
1978-03-31,108.282
1978-04-28,112.831
1978-05-31,113.929
1978-06-30,114.736
1978-07-31,122.678
1978-08-31,125.16
1978-09-29,126.266
1978-10-31,123.462
1978-11-30,118.757
1978-12-29,122.28
1979-01-31,125.06
1979-02-28,122.353
1979-03-30,127.068
1979-04-30,126.522
1979-05-31,123.964
1979-06-29,127.17
1979-07-31,127.746
1979-08-31,132.489
1979-09-28,135.076
1979-10-31,124.639
1979-11-30,128.077
1979-12-31,131.101
1980-01-31,138.591
1980-02-29,138.248
1980-03-31,122.959
1980-04-30,130.581
1980-05-30,136.573
1980-06-30,142.683
1980-07-31,146.628
1980-08-29,149.054
1980-09-30,153.086
1980-10-31,157.102
1980-11-28,163.233
1980-12-31,159.228
1981-01-30,154.155
1981-02-27,154.165
1981-03-31,159.204
1981-04-30,158.838
1981-05-29,155.298
1981-06-30,154.584
1981-07-31,151.506
1981-08-31,148.096
1981-09-30,136.528
1981-10-30,140.274
1981-11-30,150.253
1981-12-31,146.62
1982-01-29,144.023
1982-02-26,134.865
1982-03-31,130.746
1982-04-30,136.721
1982-05-31,132.831
1982-06-30,126.395
1982-07-30,124.336
1982-08-31,132.927
1982-09-30,133.113
1982-10-29,141.829
1982-11-30,148.919
1982-12-31,155.156
1983-01-31,158.034
1983-02-28,160.914
1983-03-31,166.139
1983-04-29,177.561
1983-05-31,175.383
1983-06-30,180.452
1983-07-29,176.796
1983-08-31,177.312
1983-09-30,180.467
1983-10-31,177.908
1983-11-30,182.061
1983-12-30,183.952
1984-01-31,185.039
1984-02-29,181.537
1984-03-30,189.609
1984-04-30,188.45
1984-05-31,173.852
1984-06-29,174.884
1984-07-31,168.266
1984-08-31,184.682
1984-09-28,183.518
1984-10-31,185.009
1984-11-30,183.845
1984-12-31,187.205
1985-01-31,197.057
1985-02-28,196.964
1985-03-29,203.303
1985-04-30,202.242
1985-05-31,212.126
1985-06-28,215.397
1985-07-31,219.314
1985-08-30,220.587
1985-09-30,221.702
1985-10-31,233.095
1985-11-29,245.573
1985-12-31,256.514
1986-01-31,259.748
1986-02-28,282.575
1986-03-31,309.601
1986-04-30,317.502
1986-05-30,315.983
1986-06-30,328.041
1986-07-31,330.052
1986-08-29,358.26
1986-09-30,343.351
1986-10-31,336.821
1986-11-28,350.458
1986-12-31,356.825
1987-01-30,398.106
1987-02-27,410.589
1987-03-31,435.354
1987-04-30,460.209
1987-05-29,460.177
1987-06-30,459.236
1987-07-31,467.738
1987-08-31,494.701
1987-09-30,485.4
1987-10-30,402.279
1987-11-30,391.765
1987-12-31,407.994
1988-01-29,417.213
1988-02-29,440.683
1988-03-31,453.227
1988-04-29,458.164
1988-05-31,448.228
1988-06-30,446.842
1988-07-29,454.478
1988-08-31,428.746
1988-09-30,446.168
1988-10-31,475.074
1988-11-30,490.802
1988-12-30,494.428
1989-01-31,511.511
1989-02-28,507.484
1989-03-31,503.406
1989-04-28,514.189
1989-05-31,500.763
1989-06-30,494.288
1989-07-31,549.295
1989-08-31,535.165
1989-09-29,549.417
1989-10-31,530.233
1989-11-30,550.528
1989-12-29,567.338
1990-01-31,539.944
1990-02-28,515.886
1990-03-30,483.818
1990-04-30,475.922
1990-05-31,525.101
1990-06-29,520.408
1990-07-31,524.178
1990-08-31,474.129
1990-09-28,423.145
1990-10-31,461.64
1990-11-30,453.05
1990-12-31,461.527
1991-01-31,477.387
1991-02-28,520.574
1991-03-29,504.264
1991-04-30,507.243
1991-05-31,517.764
1991-06-28,484.846
1991-07-31,506.778
1991-08-30,504.198
1991-09-30,516.432
1991-10-31,523.818
1991-11-29,499.994
1991-12-31,535.364
1992-01-31,524.448
1992-02-28,514.402
1992-03-31,489.176
1992-04-30,494.993
1992-05-29,513.665
1992-06-30,495.424
1992-07-31,495.645
1992-08-31,506.637
1992-09-30,500.953
1992-10-30,486.384
1992-11-30,494.113
1992-12-31,497.132
1993-01-29,497.833
1993-02-26,508.673
1993-03-31,537.2
1993-04-30,561.116
1993-05-31,573.068
1993-06-30,567.291
1993-07-30,578.019
1993-08-31,603.556
1993-09-30,591.436
1993-10-29,606.772
1993-11-30,571.488
1993-12-31,598.496
1994-01-31,637.008
1994-02-28,627.79
1994-03-31,599.737
1994-04-29,617.299
1994-05-31,617.906
1994-06-30,615.194
1994-07-29,625.894
1994-08-31,643.738
1994-09-30,625.806
1994-10-31,642.57
1994-11-30,613.676
1994-12-30,618.59
1995-01-31,608.263
1995-02-28,616.074
1995-03-31,644.674
1995-04-28,666.043
1995-05-31,670.635
1995-06-30,669.317
1995-07-31,701.687
1995-08-31,684.957
1995-09-29,703.797
1995-10-31,691.604
1995-11-30,714.509
1995-12-29,734.28
1996-01-31,746.451
1996-02-29,749.857
1996-03-29,761.184
1996-04-30,777.929
1996-05-31,777.437
1996-06-28,780.202
1996-07-31,751.451
1996-08-30,758.902
1996-09-30,787.436
1996-10-31,791.751
1996-11-29,834.929
1996-12-31,820.362
1997-01-31,829.082
1997-02-28,837.44
1997-03-31,686.467
1997-04-30,710.307
1997-05-30,750.988
1997-06-30,781.59
1997-07-31,828.325
1997-08-29,790.038
1997-09-30,832.006
1997-10-31,819.865
1997-11-28,856.958
1997-12-31,876.672
1998-01-30,961.488
1998-02-27,1025.297
1998-03-31,1067.354
1998-04-30,1076.53
1998-05-29,1061.791
1998-06-30,1085.737
1998-07-31,1082.741
1998-08-31,937.092
1998-09-30,952.393
1998-10-30,1037.208
1998-11-30,1097.621
1998-12-31,1149.952
1999-01-29,1173.844
1999-02-26,1141.327
1999-03-31,1187.545
1999-04-30,1233.057
1999-05-31,1186.701
1999-06-30,1240.75
1999-07-30,1235.701
1999-08-31,1232.161
1999-09-30,1218.897
1999-10-29,1280.942
1999-11-30,1315.675
1999-12-31,1420.885
2000-01-31,1338.246
2000-02-29,1340.583
2000-03-31,1431.938
2000-04-28,1370.108
2000-05-31,1334.136
2000-06-30,1377.722
2000-07-31,1337.647
2000-08-31,1379.87
2000-09-29,1305.245
2000-10-31,1282.138
2000-11-30,1203.054
2000-12-29,1221.253
2001-01-31,1244.222
2001-02-28,1137.879
2001-03-30,1061.262
2001-04-30,1138.087
2001-05-31,1121.088
2001-06-29,1084.788
2001-07-31,1069.669
2001-08-31,1016.732
2001-09-28,926.023
2001-10-31,943.2
2001-11-30,997.928
2001-12-31,1003.516
2002-01-31,972.418
2002-02-28,962.732
2002-03-29,1003.597
2002-04-30,968.25
2002-05-31,967.847
2002-06-28,907.81
2002-07-31,830.549
2002-08-30,830.582
2002-09-30,738.179
2002-10-31,791.883
2002-11-29,833.471
2002-12-31,792.215
2003-01-31,767.478
2003-02-28,752.864
2003-03-31,748.628
2003-04-30,813.302
2003-05-30,857.649
2003-06-30,871.066
2003-07-31,887.78
2003-08-29,905.324
2003-09-30,909.641
2003-10-31,962.707
2003-11-28,976.019
2003-12-31,1036.318
2004-01-30,1052.289
2004-02-27,1068.648
2004-03-31,1059.157
2004-04-30,1035.657
2004-05-31,1042.626
2004-06-30,1062.514
2004-07-30,1026.991
2004-08-31,1029.631
2004-09-30,1047.861
2004-10-29,1072.698
2004-11-30,1127.339
2004-12-31,1169.341
2005-01-31,1142.35
2005-02-28,1176.703
2005-03-31,1151.184
2005-04-29,1123.642
2005-05-31,1140.677
2005-06-30,1148.813
2005-07-29,1188.165
2005-08-31,1194.807
2005-09-30,1224.314
2005-10-31,1193.88
2005-11-30,1231.412
2005-12-30,1257.775
2006-01-31,1313.214
2006-02-28,1309.451
2006-03-31,1335.069
2006-04-28,1373.384
2006-05-31,1322.246
2006-06-30,1319.934
2006-07-31,1327.233
2006-08-31,1358.872
2006-09-29,1373.368
2006-10-31,1422.926
2006-11-30,1455.166
2006-12-29,1483.578
2007-01-31,1500.232
2007-02-28,1490.44
2007-03-30,1514.181
2007-04-30,1577.86
2007-05-31,1616.871
2007-06-29,1602.36
2007-07-31,1565.811
2007-08-31,1561.585
2007-09-28,1633.576
2007-10-31,1682.351
2007-11-30,1610.942
2007-12-31,1588.803
2008-01-31,1466.346
2008-02-29,1455.56
2008-03-31,1437.403
2008-04-30,1508.988
2008-05-30,1525.726
2008-06-30,1402.129
2008-07-31,1366.699
2008-08-29,1344.862
2008-09-30,1182.443
2008-10-31,957.245
2008-11-28,892.926
2008-12-31,920.226
2009-01-30,838.827
2009-02-27,750.863
2009-03-31,805.216
2009-04-30,893.025
2009-05-29,970.004
2009-06-30,964.048
2009-07-31,1044.753
2009-08-31,1085.599
2009-09-30,1126.985
2009-10-30,1106.17
2009-11-30,1149.007
2009-12-31,1168.468
2010-01-29,1119.537
2010-02-26,1133.348
2010-03-31,1200.53
2010-04-30,1198.564
2010-05-31,1079.801
2010-06-30,1041.323
2010-07-30,1124.826
2010-08-31,1080.699
2010-09-30,1179.194
2010-10-29,1222.226
2010-11-30,1193.558
2010-12-31,1280.071
2011-01-31,1308.083
2011-02-28,1351.647
2011-03-31,1334.925
2011-04-29,1388.62
2011-05-31,1354.607
2011-06-30,1331.182
2011-07-29,1306.054
2011-08-31,1211.224
2011-09-30,1104.065
2011-10-31,1217.296
2011-11-30,1184.604
2011-12-30,1182.595
2012-01-31,1240.894
2012-02-29,1298.72
2012-03-30,1312.011
2012-04-30,1293.991
2012-05-31,1177.645
2012-06-29,1235.716
2012-07-31,1250.569
2012-08-31,1279.208
2012-09-28,1311.504
2012-10-31,1301.522
2012-11-30,1315.493
2012-12-31,1338.5
2013-01-31,1405.466
2013-02-28,1405.18
2013-03-29,1434.515
2013-04-30,1476.139
2013-05-31,1471.933
2013-06-28,1433.548
2013-07-31,1507.913
2013-08-30,1472.738
2013-09-30,1543.672
2013-10-31,1602.86
2013-11-29,1628.424
2013-12-31,1661.069
2014-01-31,1598.456
2014-02-28,1675.4
2014-03-31,1673.874
2014-04-30,1687.742
2014-05-30,1715.184
2014-06-30,1743.415
2014-07-31,1714.353
2014-08-29,1748.688
2014-09-30,1698.408
2014-10-31,1708.092
2014-11-28,1739.497
2014-12-31,1709.672
2015-01-30,1677.537
2015-02-27,1772.862
2015-03-31,1740.814
2015-04-30,1778.4
2015-05-29,1779.307
2015-06-30,1735.613
2015-07-31,1765.604
2015-08-31,1645.43
2015-09-30,1581.922
2015-10-30,1705.803
2015-11-30,1694.397
2015-12-31,1662.794
2016-01-29,1562.178
2016-02-29,1547.174
2016-03-31,1648.118
2016-04-29,1670.796
2016-05-31,1674.613
2016-06-30,1653.229
2016-07-29,1721.788
2016-08-31,1719.524
2016-09-30,1725.665
2016-10-31,1690.922
2016-11-30,1712.089
2016-12-30,1751.219
2017-01-31,1792.403
2017-02-28,1838.699
2017-03-31,1853.69
2017-04-28,1878.276
2017-05-31,1911.74
2017-06-30,1916.426
2017-07-31,1961.1
2017-08-31,1959.743
2017-09-29,2000.553
2017-10-31,2036.804
2017-11-30,2077.36
2017-12-29,2103.448
2018-01-31,2213.238
2018-02-28,2117.993
2018-03-30,2066.845
2018-04-30,2086.514
2018-05-31,2092.923
2018-06-29,2089.301
2018-07-31,2153.096
2018-08-31,2175.498
2018-09-28,2184.009
2018-10-31,2021.982
2018-11-30,2041.359
2018-12-31,1883.901
2019-01-31,2028.492
2019-02-28,2085.845
2019-03-29,2107.742
2019-04-30,2178.674
2019-05-31,2046.246
2019-06-28,2178.347
2019-07-31,2187.564
2019-08-30,2138.521
2019-09-30,2180.018
2019-10-31,2233.526
2019-11-29,2292.259
2019-12-31,2358.468
2020-01-31,2342.414
2020-02-28,2141.124
2020-03-31,1852.727
2020-04-30,2052.845
2020-05-29,2147.882
2020-06-30,2201.788
2020-07-31,2304.982
2020-08-31,2455.512
2020-09-30,2367.27
2020-10-30,2292.925
2020-11-30,2583.143
2020-12-31,2690.044
2021-01-29,2661.691
2021-02-26,2726.91
2021-03-31,2811.699
2021-04-30,2938.764
2021-05-31,2975.701
2021-06-30,3017.222
2021-07-30,3069.249
2021-08-31,3141.351
